model,MRR,Hits@1,Hits@3,Hits@10,subset_size,train_triples,valid_triples,test_triples
DistMult,0.0032666423358023167,0.0,0.0,0.0,1000,959,13,28
DistMult,0.0018276781775057316,0.0,0.0,0.0,2000,1882,56,62
DistMult,0.01038126926869154,0.0046210720887245845,0.00831792975970425,0.022181146025878003,10252,9185,526,541
